pro_name,mouse_model
christopher17,Zowie EC2
cooperwayne,Razer Viper V2 Pro
delacruzmichelle,Logitech G Pro X Superlight
aabbott,Razer Viper V2 Pro
daniel36,Zowie EC2
hoffmancarmen,Zowie EC2
maryowen,Zowie EC2
jonathan58,Razer Viper V2 Pro
anatorres,Finalmouse Starlight Pro
ryanmichael,Razer Viper V2 Pro
daviswendy,Finalmouse Starlight Pro
vargasjean,Finalmouse Starlight Pro
denniswhitaker,Zowie EC2
danielshunter,Finalmouse Starlight Pro
lewismark,Glorious Model O
vrogers,Logitech G Pro X Superlight
wendy57,Logitech G Pro X Superlight
tsmith,Finalmouse Starlight Pro
marissa56,Razer Viper V2 Pro
dawn65,Logitech G Pro X Superlight
breweralexandria,Finalmouse Starlight Pro
danielstevens,Finalmouse Starlight Pro
kyle96,Glorious Model O
melissalee,Logitech G Pro X Superlight
davidbenitez,Glorious Model O
cphillips,Glorious Model O
harryperkins,Zowie EC2
laura14,Finalmouse Starlight Pro
reyesbryan,Logitech G Pro X Superlight
joanna63,Zowie EC2
rdillon,Glorious Model O
cmcfarland,Finalmouse Starlight Pro
goodwinsteven,Finalmouse Starlight Pro
johndixon,Logitech G Pro X Superlight
briana20,Zowie EC2
crodriguez,Razer Viper V2 Pro
ahill,Logitech G Pro X Superlight
joseph24,Zowie EC2
ashley25,Finalmouse Starlight Pro
gregoryamy,Glorious Model O
kennethmann,Logitech G Pro X Superlight
arthurnash,Glorious Model O
sgriffin,Logitech G Pro X Superlight
jenniferpowers,Finalmouse Starlight Pro
jenniferking,Razer Viper V2 Pro
mark15,Glorious Model O
glenn51,Glorious Model O
robinsullivan,Razer Viper V2 Pro
beckjulia,Zowie EC2
williamsderrick,Logitech G Pro X Superlight
vasquezpeter,Zowie EC2
scottrachel,Logitech G Pro X Superlight
stevengraham,Finalmouse Starlight Pro
lindsay09,Glorious Model O
rachelsmith,Logitech G Pro X Superlight
kevinflowers,Logitech G Pro X Superlight
gyoung,Glorious Model O
patrick84,Finalmouse Starlight Pro
christopher94,Zowie EC2
jennifer11,Razer Viper V2 Pro
matthewharper,Razer Viper V2 Pro
nicholashenson,Zowie EC2
lancesharp,Finalmouse Starlight Pro
vbishop,Logitech G Pro X Superlight
michael71,Glorious Model O
gmartin,Glorious Model O
dawn38,Razer Viper V2 Pro
anita71,Logitech G Pro X Superlight
evanstonya,Zowie EC2
gary97,Zowie EC2
keithjohnson,Logitech G Pro X Superlight
hwolfe,Logitech G Pro X Superlight
rhondarichards,Logitech G Pro X Superlight
christineberry,Razer Viper V2 Pro
judith84,Finalmouse Starlight Pro
elizabethhenry,Razer Viper V2 Pro
ipope,Finalmouse Starlight Pro
jonathan43,Logitech G Pro X Superlight
breannahamilton,Logitech G Pro X Superlight
leslie40,Finalmouse Starlight Pro
edward37,Logitech G Pro X Superlight
dominiqueayala,Zowie EC2
ksmith,Glorious Model O
taylor69,Logitech G Pro X Superlight
mikaylasherman,Glorious Model O
cristianho,Logitech G Pro X Superlight
amanda44,Razer Viper V2 Pro
hgray,Razer Viper V2 Pro
deborahbishop,Zowie EC2
gregoryphillips,Razer Viper V2 Pro
cruzedward,Glorious Model O
micheal22,Zowie EC2
laurabauer,Razer Viper V2 Pro
sarah86,Glorious Model O
veronicajohnson,Logitech G Pro X Superlight
kevinarnold,Zowie EC2
joelmarshall,Razer Viper V2 Pro
josephnixon,Finalmouse Starlight Pro
rhernandez,Glorious Model O
pchandler,Glorious Model O
