x_coord,y_coord,texture_score
8,4,8.257648363079051
3,5,3.7291005319247783
8,9,4.60036661987352
8,8,4.154861230720208
9,8,5.126416389238279
0,2,6.667213738274594
8,5,8.703307489590776
4,0,1.2375200965471935
0,4,5.654544970814383
3,3,7.999929629857076
2,3,7.944531426980862
5,5,8.232430310131848
4,8,5.015993067923069
1,9,6.96186287860346
0,8,9.95256471264348
5,3,5.328342132678715
8,2,6.698358160784432
3,6,3.8230106795367407
7,8,6.1688764468430355
4,8,3.0802605885153507
7,3,8.517971866000575
0,7,7.815430124178089
1,3,8.758304486369585
6,3,1.9495485447724064
9,4,3.6789163966606404
6,1,8.999300350966257
0,8,8.80534543978495
1,4,5.783640645884387
6,2,4.335276276675543
4,8,9.895734255318272
8,4,5.556870710705063
8,7,9.393085115778975
5,3,6.681064179447743
3,6,2.748423492886589
9,5,5.824418905486818
7,1,7.714342916636986
2,9,8.416838214708322
3,5,3.886694852600247
4,8,4.741195038607415
5,5,8.700285682740713
5,4,1.5088860018803572
5,9,6.860611954612377
3,8,8.315073044666093
7,8,6.231978094733337
7,6,7.753633163860423
9,7,5.886229414471794
5,9,5.848421457903354
4,1,4.685026478155761
9,9,1.8144560774220264
0,7,3.63331117709592
6,6,9.969324428630927
7,2,2.376202156258034
7,2,6.767210317973156
5,7,2.2264334700260644
7,4,3.063071425926743
9,3,9.291954882867133
9,1,6.155021434133777
9,6,5.539981283403484
1,1,2.361650332677813
9,3,1.5433429344359586
4,0,8.496284919685133
6,4,6.281324370643088
6,0,1.9571165444847085
8,7,3.039014576238123
5,8,5.319028477062577
5,5,6.641701096846569
0,5,9.578105935954952
5,7,7.025549634848211
6,8,8.618924875239172
1,1,7.091773745788529
2,1,4.139193654545059
0,1,9.848316072091372
7,2,5.358006307791644
0,4,8.223244229691057
0,7,1.8984362013687521
7,2,5.868822837979384
5,1,9.621633232006118
4,0,2.756035520811985
9,2,7.5560192425038935
1,2,8.002007625734617
5,6,1.7695174337335
6,5,8.158125326649394
2,0,5.753841342645445
6,1,9.589857153948904
4,3,6.860872676209509
3,4,4.916635651736703
1,3,9.338519924550901
0,2,5.890069017746807
0,7,7.0906344220743485
1,0,8.100166975973478
4,6,1.1630778617646005
6,1,5.805675341571155
7,0,3.8722356545985033
6,1,8.01757431074972
9,3,2.2370263091806253
7,2,8.154694548979199
1,6,1.9993748166195056
5,9,2.2667826340244392
4,0,2.794760549366438
5,7,2.4048820678673732
